split,policy_id,claim_family,effect_size,effective_n,family_correlation,multiplicity,benchmark_count,false_license_rate,false_license_upper_95,true_license_power,abstention_rate,false_block_rate,decision_regret,coverage,license_precision,license_recall,licensed_count,true_supported_count,null_count,observation_count
POLICY_DEVELOPMENT,BALANCED_95CI,TRANSPORT,0.06,96,0.05,1,3,0.0,0.0,1.0,0.0,0.0,0.003889740352973625,1.0,1.0,1.0,2,2,0,2
POLICY_DEVELOPMENT,BALANCED_95CI,TRANSPORT,0.06,96,0.05,12,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,12,12,24
POLICY_DEVELOPMENT,BALANCED_95CI,TRANSPORT,0.06,96,0.05,40,5,0.0,0.0,0.21666666666666667,0.8916666666666666,0.7833333333333333,0.006959000769093205,0.9,1.0,0.21666666666666667,13,60,60,120
POLICY_DEVELOPMENT,BALANCED_95CI,TRANSPORT,0.06,96,0.85,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,2,0,2
POLICY_DEVELOPMENT,BALANCED_95CI,TRANSPORT,0.06,96,0.85,1,5,0.0,0.0,1.0,0.0,0.0,0.0026978026528096527,1.0,1.0,1.0,1,1,0,1
POLICY_DEVELOPMENT,BALANCED_95CI,TRANSPORT,0.06,96,0.85,12,3,0.0,0.0,1.0,0.75,0.0,0.032310242298001654,0.9583333333333334,1.0,1.0,6,6,18,24
POLICY_DEVELOPMENT,BALANCED_95CI,TRANSPORT,0.06,96,0.85,40,3,0.0,0.0,1.0,0.5,0.0,0.003941176011863283,1.0,1.0,1.0,20,20,20,40
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.0,12,0.05,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,1,1
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.0,12,0.05,1,5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,1,1
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.0,12,0.05,12,3,0.0,0.0,0.0,1.0,1.0,0.0,0.7916666666666666,0.0,0.0,0,0,24,24
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.0,12,0.05,40,1,0.0,0.0,0.0,1.0,1.0,0.0,0.9,0.0,0.0,0,0,120,120
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.0,12,0.45,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,1,1
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.0,12,0.45,1,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,3,3
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.0,12,0.45,12,1,0.0,0.0,0.0,1.0,1.0,0.0,0.4166666666666667,0.0,0.0,0,0,12,12
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.0,12,0.45,12,5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,12,12
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.0,12,0.45,40,5,0.0,0.0,0.0,1.0,1.0,0.0,0.85,0.0,0.0,0,0,40,40
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.0,36,0.05,1,3,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,0,0,3,3
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.0,36,0.05,12,1,0.0,0.0,0.0,1.0,1.0,0.0,0.8333333333333334,0.0,0.0,0,0,12,12
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.0,36,0.05,40,1,0.0,0.0,0.0,1.0,1.0,0.0,0.8,0.0,0.0,0,0,40,40
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.0,36,0.05,40,5,0.0,0.0,0.0,1.0,1.0,0.0,0.875,0.0,0.0,0,0,40,40
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.0,36,0.45,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,2,2
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.0,36,0.45,12,3,0.0,0.0,0.0,1.0,1.0,0.0,0.8333333333333334,0.0,0.0,0,0,12,12
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.0,36,0.45,12,5,0.0,0.0,0.0,1.0,1.0,0.0,0.9166666666666666,0.0,0.0,0,0,24,24
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.0,36,0.45,40,1,0.0,0.0,0.0,1.0,1.0,0.0,0.975,0.0,0.0,0,0,40,40
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.0,36,0.45,40,3,0.0,0.0,0.0,1.0,1.0,0.0,0.9,0.0,0.0,0,0,40,40
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.0,96,0.05,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0,0,2,2
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.0,96,0.05,1,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,1,1
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.0,96,0.05,12,5,0.0,0.0,0.0,1.0,1.0,0.0,0.9444444444444444,0.0,0.0,0,0,36,36
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.0,96,0.05,40,3,0.0,0.0,0.0,1.0,1.0,0.0,0.9,0.0,0.0,0,0,40,40
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.0,96,0.45,1,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,2,2
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.0,96,0.45,12,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,12,12
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.0,96,0.45,40,1,0.0,0.0,0.0,1.0,1.0,0.0,0.8666666666666667,0.0,0.0,0,0,120,120
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.025,12,0.05,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1,0,1
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.025,12,0.05,12,3,0.0,0.0,0.0,1.0,1.0,0.0,0.9166666666666666,0.0,0.0,0,6,6,12
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.025,12,0.05,12,5,0.0,0.0,0.0,1.0,1.0,0.0,0.75,0.0,0.0,0,12,12,24
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.025,12,0.05,40,1,0.0,0.0,0.0,1.0,1.0,0.0,0.9083333333333333,0.0,0.0,0,60,60,120
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.025,12,0.85,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1,0,1
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.025,12,0.85,1,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,3,0,3
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.025,12,0.85,12,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,6,6,12
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.025,12,0.85,12,5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,6,6,12
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.025,12,0.85,40,5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,20,20,40
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.025,36,0.05,1,3,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0,2,0,2
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.025,36,0.05,12,1,0.0,0.0,0.0,1.0,1.0,0.0,0.8333333333333334,0.0,0.0,0,6,6,12
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.025,36,0.05,12,3,0.0,0.0,0.0,1.0,1.0,0.0,0.8333333333333334,0.0,0.0,0,6,6,12
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.025,36,0.05,40,1,0.0,0.0,0.0,1.0,1.0,0.0,0.875,0.0,0.0,0,20,20,40
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.025,36,0.05,40,5,0.0,0.0,0.0,1.0,1.0,0.0,0.825,0.0,0.0,0,20,20,40
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.025,36,0.85,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0,2,0,2
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.025,36,0.85,12,5,0.0,0.0,0.2222222222222222,0.8888888888888888,0.7777777777777778,0.017778990327928717,1.0,1.0,0.2222222222222222,4,18,18,36
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.025,36,0.85,40,1,0.0,0.0,0.0,1.0,1.0,0.0,0.75,0.0,0.0,0,20,20,40
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.025,36,0.85,40,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,20,20,40
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.025,96,0.05,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,2,0,2
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.025,96,0.05,1,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1,0,1
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.025,96,0.05,12,5,0.0,0.0,0.0,1.0,1.0,0.0,0.8611111111111112,0.0,0.0,0,18,18,36
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.025,96,0.05,40,3,0.0,0.0,0.65,0.675,0.35,0.006591453586010946,0.925,1.0,0.65,13,20,20,40
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.025,96,0.85,1,5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1,0,1
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.025,96,0.85,12,3,0.0,0.0,0.0,1.0,1.0,0.0,0.75,0.0,0.0,0,12,12,24
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.025,96,0.85,40,1,0.0,0.0,0.0,1.0,1.0,0.0,0.8583333333333333,0.0,0.0,0,60,60,120
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.06,12,0.45,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0,1
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.06,12,0.45,12,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,6,6,12
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.06,12,0.45,12,5,0.0,0.0,0.0,1.0,1.0,0.0,0.9166666666666666,0.0,0.0,0,12,12,24
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.06,12,0.45,40,1,0.0,0.0,0.0,1.0,1.0,0.0,0.9875,0.0,0.0,0,40,40,80
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.06,12,0.45,40,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,20,20,40
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.06,12,0.85,1,3,0.0,0.0,0.0,1.0,1.0,0.0,0.75,0.0,0.0,0,4,0,4
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.06,12,0.85,12,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,6,6,12
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.06,12,0.85,40,5,0.0,0.0,0.0,1.0,1.0,0.0,0.825,0.0,0.0,0,40,40,80
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.06,36,0.45,1,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,2,0,2
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.06,36,0.45,12,3,0.0,0.0,1.0,0.5,0.0,0.0058191816176726635,1.0,1.0,1.0,6,6,6,12
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.06,36,0.45,40,1,0.0,0.0,0.0,1.0,1.0,0.0,0.95,0.0,0.0,0,40,40,80
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.06,36,0.45,40,5,0.0,0.0,0.0,1.0,1.0,0.0,0.975,0.0,0.0,0,20,20,40
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.06,36,0.85,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,2,0,2
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.06,36,0.85,12,5,0.0,0.0,0.3333333333333333,0.8333333333333334,0.6666666666666667,0.00656578949656502,0.9722222222222222,1.0,0.3333333333333333,6,18,18,36
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.06,36,0.85,40,3,0.0,0.0,0.475,0.7625,0.525,0.03921670636030759,0.4875,1.0,0.475,19,40,40,80
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.06,96,0.45,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1,0,1
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.06,96,0.45,1,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,2,0,2
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.06,96,0.45,12,5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,12,12,24
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.06,96,0.45,40,3,0.0,0.0,0.0,1.0,1.0,0.0,0.725,0.0,0.0,0,20,20,40
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.06,96,0.45,40,5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,20,20,40
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.06,96,0.85,1,5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1,0,1
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.06,96,0.85,12,3,0.0,0.0,0.5,0.75,0.5,0.005541659784338783,0.7916666666666666,1.0,0.5,6,12,12,24
POLICY_DEVELOPMENT,BALANCED_FAMILY5,ITEM_DIAGNOSTICS,0.06,96,0.85,40,1,0.0,0.0,0.3333333333333333,0.8333333333333334,0.6666666666666667,0.010129933956783091,0.9833333333333333,1.0,0.3333333333333333,20,60,60,120
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.0,12,0.05,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,1,1
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.0,12,0.05,1,5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,1,1
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.0,12,0.05,12,3,0.0,0.0,0.0,1.0,1.0,0.0,0.75,0.0,0.0,0,0,24,24
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.0,12,0.05,40,1,0.0,0.0,0.0,1.0,1.0,0.0,0.8416666666666667,0.0,0.0,0,0,120,120
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.0,12,0.45,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.0,12,0.45,1,3,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,0,0,3,3
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.0,12,0.45,12,1,0.0,0.0,0.0,1.0,1.0,0.0,0.9166666666666666,0.0,0.0,0,0,12,12
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.0,12,0.45,12,5,0.0,0.0,0.0,1.0,1.0,0.0,0.75,0.0,0.0,0,0,12,12
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.0,12,0.45,40,5,0.0,0.0,0.0,1.0,1.0,0.0,0.825,0.0,0.0,0,0,40,40
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.0,36,0.05,1,3,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,0,0,3,3
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.0,36,0.05,12,1,0.0,0.0,0.0,1.0,1.0,0.0,0.9166666666666666,0.0,0.0,0,0,12,12
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.0,36,0.05,40,1,0.0,0.0,0.0,1.0,1.0,0.0,0.85,0.0,0.0,0,0,40,40
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.0,36,0.05,40,5,0.0,0.0,0.0,1.0,1.0,0.0,0.95,0.0,0.0,0,0,40,40
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.0,36,0.45,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,2,2
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.0,36,0.45,12,3,0.0,0.0,0.0,1.0,1.0,0.0,0.9166666666666666,0.0,0.0,0,0,12,12
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.0,36,0.45,12,5,0.0,0.0,0.0,1.0,1.0,0.0,0.8333333333333334,0.0,0.0,0,0,24,24
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.0,36,0.45,40,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,40,40
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.0,36,0.45,40,3,0.0,0.0,0.0,1.0,1.0,0.0,0.85,0.0,0.0,0,0,40,40
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.0,96,0.05,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,2,2
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.0,96,0.05,1,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,1,1
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.0,96,0.05,12,5,0.0,0.0,0.0,1.0,1.0,0.0,0.9444444444444444,0.0,0.0,0,0,36,36
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.0,96,0.05,40,3,0.0,0.0,0.0,1.0,1.0,0.0,0.9,0.0,0.0,0,0,40,40
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.0,96,0.45,1,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,2,2
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.0,96,0.45,12,3,0.0,0.0,0.0,1.0,1.0,0.0,0.8333333333333334,0.0,0.0,0,0,12,12
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.0,96,0.45,40,1,0.0,0.0,0.0,1.0,1.0,0.0,0.8083333333333333,0.0,0.0,0,0,120,120
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.025,12,0.05,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1,0,1
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.025,12,0.05,12,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,6,6,12
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.025,12,0.05,12,5,0.0,0.0,0.0,1.0,1.0,0.0,0.8333333333333334,0.0,0.0,0,12,12,24
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.025,12,0.05,40,1,0.0,0.0,0.0,1.0,1.0,0.0,0.9333333333333333,0.0,0.0,0,60,60,120
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.025,12,0.85,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1,0,1
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.025,12,0.85,1,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,3,0,3
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.025,12,0.85,12,1,0.0,0.0,0.0,1.0,1.0,0.0,0.4166666666666667,0.0,0.0,0,6,6,12
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.025,12,0.85,12,5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,6,6,12
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.025,12,0.85,40,5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,20,20,40
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.025,36,0.05,1,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,2,0,2
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.025,36,0.05,12,1,0.0,0.0,0.0,1.0,1.0,0.0,0.8333333333333334,0.0,0.0,0,6,6,12
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.025,36,0.05,12,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,6,6,12
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.025,36,0.05,40,1,0.0,0.0,0.0,1.0,1.0,0.0,0.875,0.0,0.0,0,20,20,40
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.025,36,0.05,40,5,0.0,0.0,0.0,1.0,1.0,0.0,0.925,0.0,0.0,0,20,20,40
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.025,36,0.85,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,2,0,2
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.025,36,0.85,12,5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,18,18,36
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.025,36,0.85,40,1,0.0,0.0,0.0,1.0,1.0,0.0,0.975,0.0,0.0,0,20,20,40
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.025,36,0.85,40,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,20,20,40
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.025,96,0.05,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,2,0,2
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.025,96,0.05,1,3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0,1
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.025,96,0.05,12,5,0.0,0.0,0.0,1.0,1.0,0.0,0.8611111111111112,0.0,0.0,0,18,18,36
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.025,96,0.05,40,3,0.0,0.0,0.5,0.75,0.5,0.002651005528087014,0.925,1.0,0.5,10,20,20,40
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.025,96,0.85,1,5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1,0,1
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.025,96,0.85,12,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,12,12,24
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.025,96,0.85,40,1,0.0,0.0,0.0,1.0,1.0,0.0,0.9833333333333333,0.0,0.0,0,60,60,120
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.06,12,0.45,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1,0,1
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.06,12,0.45,12,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,6,6,12
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.06,12,0.45,12,5,0.0,0.0,0.0,1.0,1.0,0.0,0.8333333333333334,0.0,0.0,0,12,12,24
POLICY_DEVELOPMENT,BALANCED_FAMILY5,PRIMARY_PAIRWISE,0.06,12,0.45,40,1,0.0,0.0,0.0,1.0,1.0,0.0,0.95,0.0,0.0,0,40,40,80
